PID_de_identity,group,LearningProfileDay1,LearningProfileDay2,LearningProfileDay3,LearningProfileDay4,LearningProfileDay5,LearningRate,AccGainTrain,AccGainUntrain,AccTrainPre,AccTrainPost,AccUntrainPre,AccUntrainPost,RTGainTrain,RTGainUntrain,RTTrainPre,RTUntrainPre,RTTrainPost,RTUntrainPost,StrategyTrainPre,StrategyTrainPost,StrategyUntrainPre,StrategyUntrainPost
37,2,5.433932939,5.622240997,4.149619048,4.296492564,3.78194884,-0.462971663,0,-0.111111111,0.892857143,0.892857143,0.964285714,0.857142857,-0.113973974,-0.06736414,3962.153846,4793.857143,3510.571429,4470.923077,1,1,1,1
38,2,4.52437125,3.082740036,3.254962522,2.977952381,3.519754908,-0.211402034,0,0,1,1,0.964285714,0.964285714,-0.313717801,-0.003616237,2914.357143,2531.571429,2000.071429,2522.416667,2,1,2,1
39,1,9.025695291,8.550810249,8.38220599,7.061329389,6.35389125,-0.683308894,-0.041666667,-0.25,0.857142857,0.821428571,0.857142857,0.642857143,-0.369352705,-0.110933193,10052.15385,9214.769231,6339.363636,8192.545455,2,2,2,2
40,2,14.94696746,12.56495858,4.867261905,6.122820937,4.632390582,-2.707129139,0.375,-0.363636364,0.571428571,0.785714286,0.785714286,0.5,-0.498119123,-0.119573078,6781.916667,11041.46154,3403.714286,9721.2,2,1,2,1
41,1,NaN,NaN,NaN,NaN,NaN,NaN,1.41E-16,0,0.785714286,0.785714286,0.75,0.75,-0.110089095,-0.183459775,5692.142857,6407.3,5065.5,5231.818182,2,2,2,2
42,2,5.576139889,4.161972635,3.604119048,3.878591315,3.34154625,-0.47525686,0,-0.037037037,0.964285714,0.964285714,0.964285714,0.928571429,-0.575168859,-0.12125316,3704.833333,3692,1573.928571,3244.333333,2,1,2,1
43,1,5.8799475,4.43890125,3.652928571,3.318833333,3.225666667,-0.642862958,0.041666667,0,0.857142857,0.892857143,0.892857143,0.892857143,-0.48568573,0.077471353,3216.071429,2806,1654.071429,3023.384615,2,1,2,1
44,1,NaN,NaN,NaN,NaN,NaN,NaN,0.045454545,-0.285714286,0.785714286,0.821428571,0.75,0.535714286,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
45,2,4.098190476,3.078380952,3.264132064,2.919762046,2.377559786,-0.359988029,-0.035714286,0,1,0.964285714,0.928571429,0.928571429,-0.358194839,-0.046141063,2689.846154,3147.538462,1726.357143,3002.307692,2,1,2,1
46,2,5.76788625,5.780844412,5.685247626,7.224108997,4.006608033,-0.207929185,-0.074074074,0.04,0.964285714,0.892857143,0.892857143,0.928571429,-0.226223894,-0.004305036,4045.928571,3872.285714,3130.642857,3855.615385,2,1,2,2
47,1,5.239714286,3.582571429,3.578357143,3.049509816,3.354201183,-0.430408782,0.038461538,0.130434783,0.928571429,0.964285714,0.821428571,0.928571429,-0.681335657,-0.414290885,7668.615385,9183.214286,2443.714286,5378.692308,2,1,2,1
48,2,4.411880952,3.840571429,3.159142857,3.016029744,2.87156625,-0.390517109,-0.035714286,0,1,0.964285714,0.964285714,0.964285714,-0.465126999,0.641739048,4493.857143,4531.214286,2403.642857,7439.071429,2,1,2,2
49,1,3.864349792,2.518825699,1.909619048,1.828857143,1.795976331,-0.482671548,0,0.076923077,0.964285714,0.964285714,0.928571429,1,-0.502763952,-0.264782783,3313.857143,4240.714286,1647.769231,3117.846154,2,1,2,2
50,1,5.790582857,3.233575253,3.065575253,3.03765,2.88452381,-0.600804335,0.037037037,0.04,0.964285714,1,0.892857143,0.928571429,-0.635560641,-0.114581551,5555.5,5329.857143,2024.642857,4719.153846,2,1,2,1
51,1,4.5498075,4.056535396,3.84297375,3.28643787,3.156074951,-0.355756262,0.076923077,0,0.928571429,1,0.964285714,0.964285714,-0.096498054,-0.166499406,4589.285714,4626.357143,4146.428571,3856.071429,2,2,2,2
52,1,5.515805698,3.260785714,3.248238095,4.323277778,2.829187377,-0.431074458,0.08,0,0.892857143,0.964285714,0.892857143,0.892857143,-0.520719984,-0.410851446,5067.571429,5681.928571,2428.785714,3347.5,2,2,2,2
53,1,5.89846401,5.38547619,5.1314025,3.659547619,4.481056787,-0.456074302,0.181818182,0.173913043,0.785714286,0.928571429,0.821428571,0.964285714,0.038285873,-0.553061885,3873.692308,5550.071429,4022,2480.538462,2,2,2,1
54,1,4.506785714,3.450642857,3.224830458,2.610380952,2.704857143,-0.444411905,-0.035714286,-0.037037037,1,0.964285714,0.964285714,0.928571429,-0.533446584,-0.2689818,3784.285714,3909.615385,1765.571429,2858,2,2,2,2
55,1,5.937390839,4.688039448,5.527515,4.715666667,3.829238095,-0.418867827,0.090909091,-0.146666667,0.785714286,0.857142857,0.892857143,0.761904762,-0.408305304,-0.076714244,4835.384615,5840.928571,2861.071429,5392.846154,2,2,2,2
56,2,5.4686625,3.909047619,3.237095238,3.248666667,2.535490779,-0.652672439,0,0.083333333,0.964285714,0.964285714,0.857142857,0.928571429,-0.548574004,-0.140498089,3328.5,3277.285714,1502.571429,2816.833333,2,1,2,1
57,2,3.27302381,3.085928571,2.63497619,2.411904762,2.604024985,-0.201202146,-0.035714286,0,1,0.964285714,1,1,-0.574887963,-0.292755499,2725.5,3514.071429,1158.642857,2485.307692,2,2,2,2
58,2,5.635295657,4.90993125,3.9821047,2.895785714,2.90012625,-0.748448435,0.013333333,0.101449275,0.892857143,0.904761905,0.821428571,0.904761905,-0.623849624,-0.090454306,5115.384615,3985.083333,1924.153846,3624.615385,2,1,2,2
59,1,12.1907513,8.533954286,6.85033125,5.916531856,4.960130194,-1.707866464,0.285714286,0.2,0.75,0.964285714,0.714285714,0.857142857,-0.716127697,-0.372786643,10887.69231,9973.923077,3090.714286,6255.777778,2,1,2,2
60,1,5.189261905,4.5548475,3.589071429,3.39620345,3.83173875,-0.387369036,-0.185185185,0.12,0.964285714,0.785714286,0.892857143,1,-0.516788315,-0.178644774,5302.615385,5184.583333,2562.285714,4258.384615,2,1,2,2
61,1,2.9421,2.26844625,1.99392375,1.956190476,2.013776324,-0.216890313,-0.037037037,-0.185185185,0.964285714,0.928571429,0.964285714,0.785714286,-0.504770899,-0.132604898,3630.642857,3843.857143,1798,3334.142857,1,1,1,2
62,2,7.094747991,6.134402367,5.99214,5.580284024,5.669389197,-0.340483593,0.086956522,0.086956522,0.821428571,0.892857143,0.821428571,0.892857143,-0.225243315,-0.197312361,6047.428571,6025.142857,4685.285714,4836.307692,2,2,2,2
63,1,10.88586777,7.946247405,6.765306228,5.50906125,5.910844181,-1.238723333,-0.153846154,0.045454545,0.928571429,0.785714286,0.785714286,0.821428571,-0.229794016,0.442859487,10785.64286,7836.571429,8307.166667,11307.07143,2,2,2,2
